add-yield-none,4,1000,8000,1001000,125,-11
add-yield-none,4,10000,80000,7069000,88,8
add-yield-none,4,100000,800000,-914670000,-1143,-367
add-yield-none,8,10,160,282000,1762,0
add-yield-none,8,20,320,421000,1315,0
add-yield-none,8,40,640,589000,920,1
add-yield-none,8,80,1280,1194000,932,0
add-yield-none,8,100,1600,1298000,811,1
add-yield-none,8,1000,16000,15635000,977,0
add-yield-none,8,10000,160000,121494000,759,-29
add-yield-none,8,100000,1600000,260054000,162,-21
add-yield-none,12,10,240,424000,1766,1
add-yield-none,12,20,480,680000,1416,6
add-yield-none,12,40,960,917000,955,10
add-yield-none,12,80,1920,1508000,785,8
add-yield-none,12,100,2400,2244000,935,1
add-yield-none,12,1000,24000,20741000,864,7
add-yield-none,12,10000,240000,213942000,891,9
add-yield-none,12,100000,2400000,4918000,2,-11
add-none,1,1,2,73000,36500,0
add-none,1,10,20,85000,4250,0
add-none,1,100,200,69000,345,0
add-none,1,1000,2000,116000,58,0
add-none,1,10000,20000,130000,6,0
add-none,1,100000,200000,639000,3,0
add-none,1,1000000,2000000,5886000,2,0
add-none,2,1,4,101000,25250,0
add-none,2,10,40,102000,2550,0
add-none,2,100,400,104000,260,0
add-none,2,1000,4000,90000,22,0
add-none,2,10000,40000,370000,9,4482
add-none,2,100000,400000,2882000,7,-2591
add-none,2,1000000,4000000,30079000,7,-226203
add-none,4,1,8,111000,13875,0
add-none,4,10,80,132000,1650,0
add-none,4,100,800,109000,136,0
add-none,4,1000,8000,176000,22,0
add-none,4,10000,80000,673000,8,1305
add-none,4,100000,800000,5626000,7,-89214
add-none,4,1000000,8000000,-937423000,-117,-333480
add-m,1,100,200,84000,420,0
add-m,1,1000,2000,135000,67,0
add-m,1,10000,20000,487000,24,0
add-m,1,100000,200000,4110000,20,0
add-m,2,100,400,104000,260,0
add-m,2,1000,4000,227000,56,0
add-m,2,10000,40000,1635000,40,0
add-m,2,100000,400000,15622000,39,0
add-m,4,100,800,163000,203,0
add-m,4,1000,8000,404000,50,0
add-m,4,10000,80000,4340000,54,0
add-m,4,100000,800000,43530000,54,0
add-m,8,100,1600,256000,160,0
add-m,8,1000,16000,1211000,75,0
add-m,8,10000,160000,11773000,73,0
add-m,8,100000,1600000,112548000,70,0
add-m,12,100,2400,315000,131,0
add-m,12,1000,24000,1774000,73,0
add-m,12,10000,240000,17080000,71,0
add-m,12,100000,2400000,165770000,69,0
add-s,1,100,200,82000,410,0
add-s,1,1000,2000,92000,46,0
add-s,1,10000,20000,232000,11,0
add-s,1,100000,200000,1751000,8,0
add-s,2,100,400,85000,212,0
add-s,2,1000,4000,235000,58,0
add-s,2,10000,40000,3110000,77,0
add-s,2,100000,400000,29259000,73,0
add-s,4,100,800,109000,136,0
add-s,4,1000,8000,683000,85,0
add-s,4,10000,80000,10300000,128,0
add-s,4,100000,800000,89689000,112,0
add-s,8,100,1600,183000,114,0
add-s,8,1000,16000,2087000,130,0
add-s,8,10000,160000,18114000,113,0
add-s,8,100000,1600000,-613411000,-383,0
add-s,12,100,2400,211000,87,0
add-s,12,1000,24000,2494000,103,0
add-s,12,10000,240000,26204000,109,0
add-s,12,100000,2400000,-67861000,-28,0
add-none,2,100,400,109000,272,0
add-none,2,1000,4000,264000,66,-424
add-none,2,10000,40000,356000,8,0
add-none,2,100000,400000,2770000,6,3964
add-none,4,100,800,118000,147,0
add-none,4,1000,8000,141000,17,441
add-none,4,10000,80000,650000,8,248
add-none,4,100000,800000,6080000,7,-12185
add-none,8,100,1600,336000,210,3
add-none,8,1000,16000,208000,13,127
add-none,8,10000,160000,1316000,8,-2849
add-none,8,100000,1600000,11752000,7,881
add-none,12,100,2400,198000,82,-12
add-none,12,1000,24000,624000,26,881
add-none,12,10000,240000,1900000,7,-12331
add-none,12,100000,2400000,18895000,7,-70905
add-yield-none,2,10,40,113000,2825,0
add-yield-none,2,20,80,128000,1600,0
add-yield-none,2,40,160,128000,800,0
add-yield-none,2,80,320,166000,518,-24
add-yield-none,2,100,400,189000,472,0
add-yield-none,2,1000,4000,864000,216,19
add-yield-none,2,10000,40000,6072000,151,22
add-yield-none,2,100000,400000,62975000,157,-1168
add-yield-none,4,10,80,123000,1537,0
add-yield-none,4,20,160,157000,981,0
add-yield-none,4,40,320,154000,481,0
add-yield-none,4,80,640,201000,314,-3
add-yield-none,4,100,800,183000,228,0
add-yield-none,4,1000,8000,815000,101,14
add-yield-none,4,10000,80000,11166000,139,-169
add-yield-none,4,100000,800000,80284000,100,-14
add-yield-none,8,10,160,277000,1731,0
add-yield-none,8,20,320,383000,1196,3
add-yield-none,8,40,640,595000,929,1
add-yield-none,8,80,1280,1093000,853,1
add-yield-none,8,100,1600,1885000,1178,4
add-yield-none,8,1000,16000,14698000,918,0
add-yield-none,8,10000,160000,120421000,752,-96
add-yield-none,8,100000,1600000,386331000,241,18
add-yield-none,12,10,240,427000,1779,3
add-yield-none,12,20,480,1196000,2491,5
add-yield-none,12,40,960,917000,955,4
add-yield-none,12,80,1920,1904000,991,19
add-yield-none,12,100,2400,1929000,803,4
add-yield-none,12,1000,24000,17255000,718,12
add-yield-none,12,10000,240000,-802212000,-3342,-18
add-yield-none,12,100000,2400000,-14521000,-6,-189
add-none,1,1,2,68000,34000,0
add-none,1,10,20,77000,3850,0
add-none,1,100,200,71000,355,0
add-none,1,1000,2000,133000,66,0
add-none,1,10000,20000,131000,6,0
add-none,1,100000,200000,896000,4,0
add-none,1,1000000,2000000,5986000,2,0
add-none,2,1,4,77000,19250,0
add-none,2,10,40,87000,2175,0
add-none,2,100,400,87000,217,0
add-none,2,1000,4000,136000,34,0
add-none,2,10000,40000,440000,11,824
add-none,2,100000,400000,3131000,7,0
add-none,2,1000000,4000000,28054000,7,31296
add-none,4,1,8,104000,13000,0
add-none,4,10,80,229000,2862,0
add-none,4,100,800,123000,153,0
add-none,4,1000,8000,127000,15,-597
add-none,4,10000,80000,680000,8,824
add-none,4,100000,800000,6632000,8,-54382
