list-none-m,8,1000,1,24000,436764903,18198,178247
list-none-m,12,1000,1,36000,1123454773,31207,486396
list-none-m,16,1000,1,48000,1999020488,41646,783003
list-none-m,24,1000,1,72000,4711391918,65435,1885787
list-none-s,1,1000,1,3000,4234373,1411,33
list-none-s,2,1000,1,6000,15413166,2568,2889
list-none-s,4,1000,1,12000,120388220,10032,45064
list-none-s,8,1000,1,24000,453398567,18891,198259
list-none-s,12,1000,1,36000,1216183253,33782,540008
list-none-s,16,1000,1,48000,2001977329,41707,789972
list-none-s,24,1000,1,72000,5795701570,80495,2367034
list-id-none,1,1,4,3,146511,48837,0
list-id-none,1,2,4,6,155886,25981,0
list-id-none,1,4,4,12,163050,13587,0
list-id-none,1,8,4,24,148701,6195,0
list-id-none,1,16,4,48,157052,3271,0
list-id-none,4,1,4,12,212187,17682,0
list-id-none,4,2,4,24,196990,8207,0
list-id-none,4,4,4,48,243305,5068,0
list-id-none,4,8,4,96,202298,2107,0
list-id-none,8,1,4,24,356750,14864,0
list-id-none,8,8,4,192,945282,4923,0
list-id-none,12,1,4,36,542029,15056,0
list-id-none,12,4,4,144,2500630,17365,0
list-id-none,16,4,4,192,620319,3230,0
list-id-m,1,10,4,30,149896,4996,83
list-id-m,1,20,4,60,153614,2560,63
list-id-m,1,40,4,120,211741,1764,67
list-id-m,1,80,4,240,1082260,4509,622
list-id-m,4,10,4,120,216044,1800,591
list-id-m,4,20,4,240,501076,2087,2677
list-id-m,4,40,4,480,815976,1699,3141
list-id-m,4,80,4,960,847815,883,2113
list-id-m,8,10,4,240,632285,2634,2787
list-id-m,8,20,4,480,814209,1696,7524
list-id-m,8,40,4,960,1525361,1588,9589
list-id-m,8,80,4,1920,2488198,1295,7367
list-id-m,12,10,4,360,765963,2127,4822
list-id-m,12,20,4,720,1204919,1673,8063
list-id-m,12,40,4,1440,2303789,1599,14151
list-id-m,12,80,4,2880,4539492,1576,16654
list-id-m,16,10,4,480,685845,1428,472
list-id-m,16,20,4,960,1587775,1653,19551
list-id-m,16,40,4,1920,2812597,1464,18787
list-id-m,16,80,4,3840,6575622,1712,29247
list-id-m,1,5,4,15,151129,10075,143
list-id-m,1,15,4,45,181976,4043,74
list-id-m,1,35,4,105,170834,1626,52
list-id-m,1,75,4,225,228109,1013,46
list-id-m,4,5,4,60,313480,5224,3573
list-id-m,4,15,4,180,341555,1897,1128
list-id-m,4,35,4,420,524327,1248,1513
list-id-m,4,75,4,900,944504,1049,1860
list-id-m,8,5,4,120,669748,5581,2843
list-id-m,8,15,4,360,532670,1479,4572
list-id-m,8,35,4,840,976056,1161,5660
list-id-m,8,75,4,1800,1815442,1008,6070
list-id-m,12,5,4,180,509901,2832,1485
list-id-m,12,15,4,540,1039279,1924,9322
list-id-m,12,35,4,1260,1837857,1458,10104
list-id-m,12,75,4,2700,4980725,1844,18310
list-id-m,16,5,4,240,1123870,4682,19078
list-id-m,16,15,4,720,2621366,3640,54
list-id-m,16,35,4,1680,3530159,2101,21853
list-id-m,16,75,4,3600,8367067,2324,33759
list-id-s,1,10,4,30,152704,5090,48
list-id-s,1,20,4,60,155186,2586,37
list-id-s,1,40,4,120,185593,1546,41
list-id-s,1,80,4,240,231987,966,36
list-id-s,4,10,4,120,250949,2091,38
list-id-s,4,20,4,240,313582,1306,761
list-id-s,4,40,4,480,400365,834,826
list-id-s,4,80,4,960,607352,632,969
list-id-s,8,10,4,240,352494,1468,598
list-id-s,8,20,4,480,602171,1254,962
list-id-s,8,40,4,960,924378,962,2197
list-id-s,8,80,4,1920,2149171,1119,5255
list-id-s,12,10,4,360,801709,2226,1614
list-id-s,12,20,4,720,488770,678,308
list-id-s,12,40,4,1440,1541883,1070,5077
list-id-s,12,80,4,2880,3185782,1106,9504
list-id-s,16,10,4,480,707852,1474,712
list-id-s,16,20,4,960,1036637,1079,2080
list-id-s,16,40,4,1920,1695266,882,6243
list-id-s,16,80,4,3840,6160324,1604,25839
